"id","productPath","title","docUrl","releaseLevel","iconUrl","description","version","serviceName","group"
"1","Cloud > Google Cloud Platform (GCP) > Cloud AI & Industry Solutions > Industry Solutions > IoT Core","IoT Core","cloud.google.com/iot/","DEPRECATED","http://www.google.com/images/icons/product/search-32.gif","Registers and manages IoT (Internet of Things) devices that connect to the Google Cloud Platform. ","v1","cloudiot.googleapis.com","Cloud/GCP"
"2","Cloud > Google Cloud Platform (GCP) > Cloud AI & Industry Solutions > Cloud AI > Cloud Vision","Cloud Vision","cloud.google.com/vision/","GA","http://www.google.com/images/icons/product/search-32.gif","Integrates Google Vision features, including image labeling, face, logo, and landmark detection, optical character recognition (OCR), and detection of explicit content, into applications.","v1","vision.googleapis.com","Cloud/GCP"
"3","Cloud > Google Cloud Platform (GCP) > Cloud AI & Industry Solutions > Cloud AI > Speech-to-Text","Speech-to-Text","cloud.google.com/speech-to-text/","GA","http://www.google.com/images/icons/product/search-32.gif","Converts audio to text by applying powerful neural network models.","v1","speech.googleapis.com","Cloud/GCP"
"4","Cloud > Google Cloud Platform (GCP) > Cloud AI & Industry Solutions > Cloud AI > Cloud Translation","Cloud Translation","cloud.google.com/translate/","GA","http://www.google.com/images/icons/product/search-32.gif","Integrates text translation into your website or application.","v3","translate.googleapis.com","Cloud/GCP"
"5","Cloud > Google Cloud Platform (GCP) > Cloud AI & Industry Solutions > Cloud AI > Cloud Natural Language API","Cloud Natural Language API","cloud.google.com/natural-language/","GA","http://www.google.com/images/icons/product/search-32.gif","Provides natural language understanding technologies, such as sentiment analysis, entity recognition, entity sentiment analysis, and other text annotations, to developers.","v1","language.googleapis.com","Cloud/GCP"
"6","Cloud > Google Cloud Platform (GCP) > Cloud AI & Industry Solutions > Cloud AI > Video Intelligence API","Video Intelligence API","cloud.google.com/video-intelligence/","GA","http://www.google.com/images/icons/product/search-32.gif","Detects objects, explicit content, and scene changes in videos. It also specifies the region for annotation and transcribes speech to text. Supports both asynchronous API and streaming API.","v1","videointelligence.googleapis.com","Cloud/GCP"
"7","Cloud > Google Cloud Platform (GCP) > Cloud AI & Industry Solutions > Cloud AI > Text-to-Speech","Text-to-Speech","cloud.google.com/text-to-speech/","GA","http://www.google.com/images/icons/product/search-32.gif","Synthesizes natural-sounding speech by applying powerful neural network models.","v1","texttospeech.googleapis.com","Cloud/GCP"
"8","Cloud > Google Cloud Platform (GCP) > Cloud AI & Industry Solutions > Cloud AI > Dialogflow","Dialogflow","cloud.google.com/dialogflow/","GA","http://www.google.com/images/icons/product/search-32.gif","Builds conversational interfaces (for example, chatbots, and voice-powered apps and devices).","v2","dialogflow.googleapis.com","Cloud/GCP"
"9","Cloud > Google Cloud Platform (GCP) > Cloud Databases & Analytics > Cloud Databases > Spanner","Spanner","cloud.google.com/spanner/","GA","http://www.google.com/images/icons/product/search-32.gif","Cloud Spanner is a managed, mission-critical, globally consistent and scalable relational database service.","v1","spanner.googleapis.com","Cloud/GCP"
"10","Cloud > Google Cloud Platform (GCP) > Cloud Security > Sensitive Data Protection","Sensitive Data Protection","cloud.google.com/sensitive-data-protection/","GA","http://www.google.com/images/icons/product/search-32.gif","Discover and protect your sensitive data. A fully managed service designed to help you discover, classify, and protect your valuable data assets with ease.","v2","dlp.googleapis.com","Cloud/GCP"
"11","Cloud > Google Cloud Platform (GCP) > Cloud Application Ecosystem (AppEco) > Cloud Native Runtimes > Serverless > Cloud Functions","Cloud Functions","cloud.google.com/functions/","GA","http://www.google.com/images/icons/product/search-32.gif","Manages lightweight user-provided functions executed in response to events.","v1","cloudfunctions.googleapis.com","Cloud/GCP"
"12","Cloud > Google Cloud Platform (GCP) > Cloud Application Ecosystem (AppEco) > Foundation Services > Events & Orchestration > Cloud Tasks","Cloud Tasks","cloud.google.com/tasks/","GA","http://www.google.com/images/icons/product/search-32.gif","Manages the execution of large numbers of distributed requests.","v2","cloudtasks.googleapis.com","Cloud/GCP"
"13","Cloud > Google Cloud Platform (GCP) > Core Infrastructure > Cloud Storage > Cloud Storage","Cloud Storage","cloud.google.com/storage/","GA","https://www.google.com/images/icons/product/cloud_storage-32.png","Stores and retrieves potentially large, immutable data objects.","v1","storage.googleapis.com","Cloud/GCP"
"14","Cloud > Google Cloud Platform (GCP) > Cloud Databases & Analytics > Cloud Databases > Firestore in Datastore mode","Datastore","cloud.google.com/datastore/","GA","http://www.google.com/images/icons/product/search-32.gif","Accesses the schemaless NoSQL database to provide fully managed, robust, scalable storage for your application. ","v1","datastore.googleapis.com","Cloud/GCP"
"15","Cloud > Google Cloud Platform (GCP) > Cloud Databases & Analytics > Cloud Databases > Firestore","Firestore","cloud.google.com/firestore/","GA","http://www.google.com/images/icons/product/search-32.gif","Accesses the NoSQL document database built for automatic scaling, high performance, and ease of application development. ","v1","firestore.googleapis.com","Cloud/GCP"
"16","Cloud > Google Cloud Platform (GCP) > Cloud Application Ecosystem (AppEco) > Ops & Onboarding > Cloud Operations Suite > Cloud Monitoring","Cloud Monitoring","cloud.google.com/monitoring/","GA","http://www.google.com/images/icons/product/search-32.gif","Manages your Cloud Monitoring data and configurations.","v3","monitoring.googleapis.com","Cloud/GCP"
"17","Cloud > Google Cloud Platform (GCP) > Cloud Application Ecosystem (AppEco) > Ops & Onboarding > Cloud Operations Suite > Cloud Logging","Cloud Logging","cloud.google.com/logging/","GA","http://www.google.com/images/icons/product/search-32.gif","Writes log entries and manages your Cloud Logging configuration.","v2","logging.googleapis.com","Cloud/GCP"
"18","Cloud > Google Cloud Platform (GCP) > Cloud Databases & Analytics > Cloud Data Analytics > BigQuery (Product Group) > BigQuery","BigQuery","cloud.google.com/bigquery/","GA","http://www.google.com/images/icons/product/search-32.gif","A data platform for customers to create, manage, share and query data.","v2","bigquery.googleapis.com","Cloud/GCP"
"19","Cloud > Google Cloud Platform (GCP) > Cloud Databases & Analytics > Cloud Data Analytics > Streams and Lakes > Pub/Sub","Pub/Sub","cloud.google.com/pubsub/","GA","http://www.google.com/images/icons/product/search-32.gif","Provides reliable, many-to-many, asynchronous messaging between applications. ","v1","pubsub.googleapis.com","Cloud/GCP"
"20","Cloud > Google Cloud Platform (GCP) > Cloud Security > Cloud Key Management Service","Cloud Key Management Service","cloud.google.com/kms/","GA","http://www.google.com/images/icons/product/search-32.gif","Manages keys and performs cryptographic operations in a central cloud service, for direct use by other cloud resources and applications. ","v1","cloudkms.googleapis.com","Cloud/GCP"
"21","Cloud > Google Cloud Platform (GCP) > Cloud Databases & Analytics > Cloud Data Analytics > Streams and Lakes > Cloud Composer","Cloud Composer","cloud.google.com/composer/","GA","http://www.google.com/images/icons/product/search-32.gif","Manages Apache Airflow environments on Google Cloud Platform.","v1","composer.googleapis.com","Cloud/GCP"
"23","Cloud > Google Cloud Platform (GCP) > Cloud Databases & Analytics > Cloud Data Analytics > BigQuery (Product Group) > BigQuery Data Transfer Service","BigQuery Data Transfer Service","cloud.google.com/bigquery/docs/dts-introduction/","GA","http://www.google.com/images/icons/product/search-32.gif","Schedule queries or transfer external data from SaaS applications to Google BigQuery on a regular basis.","v1","bigquerydatatransfer.googleapis.com","Cloud/GCP"
"35","Cloud > Google Cloud Platform (GCP) > Cloud Databases & Analytics > Cloud Databases > Cloud Memorystore > Memorystore for Redis","Memorystore for Redis","cloud.google.com/memorystore/docs/redis/","GA","http://www.google.com/images/icons/product/search-32.gif","Creates and manages Redis instances on the Google Cloud Platform.","v1","redis.googleapis.com","Cloud/GCP"
"39","Cloud > Google Cloud Platform (GCP) > Cloud Security > Identity-Aware Proxy","Identity-Aware Proxy","cloud.google.com/iap/","GA","http://www.google.com/images/icons/product/search-32.gif","Controls access to cloud applications running on Google Cloud Platform.","v1","iap.googleapis.com","Cloud/GCP"
"43","Cloud > Google Cloud Platform (GCP) > Cloud Security > Access Context Manager","Access Context Manager","cloud.google.com/access-context-manager/","GA","http://www.google.com/images/icons/product/search-32.gif","An API for setting attribute based access control to requests to Google Cloud services.","v1","accesscontextmanager.googleapis.com","Cloud/GCP"
"46","Cloud > Google Cloud Platform (GCP) > Business Platforms & Cloud Operations > Google Cloud Business Platform > GCBP Ordering, Billing & Finance > Cloud Billing (Product Group) > Cloud Billing","Cloud Billing","cloud.google.com/billing/","GA","http://www.google.com/images/icons/product/search-32.gif","Allows developers to manage billing for their Google Cloud Platform projects programmatically.","v1","cloudbilling.googleapis.com","Cloud/GCP"
"47","Cloud > Google Cloud Platform (GCP) > Channel Services","Channel Services","cloud.google.com/channel/","GA","http://www.google.com/images/icons/product/search-32.gif","The Cloud Channel API enables Google Cloud partners to have a single unified resale platform and APIs across all of Google Cloud including GCP, Workspace, Maps and Chrome.","v1","cloudchannel.googleapis.com","Cloud/GCP"
"48","Cloud > Google Cloud Platform (GCP) > Core Infrastructure > Cloud Core Compute > Compute Engine","Compute Engine","cloud.google.com/compute/","GA","https://www.google.com/images/icons/product/compute_engine-32.png","Creates and runs virtual machines on Google Cloud Platform. ","v1","compute.googleapis.com","Cloud/GCP"
"49","Cloud > Google Cloud Platform (GCP) > Cloud Application Ecosystem (AppEco) > Developer Experience > Secure Source to Prod (SSTP) > Cloud Build","Cloud Build","cloud.google.com/build/","GA","http://www.google.com/images/icons/product/search-32.gif","Creates and manages builds on Google Cloud Platform.","v1","cloudbuild.googleapis.com","Cloud/GCP"
"50","Cloud > Google Cloud Platform (GCP) > Cloud Databases & Analytics > Cloud Data Analytics > Streams and Lakes > Dataflow","Dataflow","cloud.google.com/dataflow/","BETA","http://www.google.com/images/icons/product/search-32.gif","Manages Google Cloud Dataflow projects on Google Cloud Platform.","v1b3","dataflow.googleapis.com","Cloud/GCP"
